Time,SessionBlockNumber,BlockTrialNumber,VRHead_Position_X,VRHead_Position_Y,VRHead_Position_Z,VRHead_Rotation_X,VRHead_Rotation_Y,VRHead_Rotation_Z,VRLeftHand_Position_X,VRLeftHand_Position_Y,VRLeftHand_Position_Z,VRLeftHand_Rotation_X,VRLeftHand_Rotation_Y,VRLeftHand_Rotation_Z,VRLeftHand_HoldingObjectType,VRRightHand_Position_X,VRRightHand_Position_Y,VRRightHand_Position_Z,VRRightHand_Rotation_X,VRRightHand_Rotation_Y,VRRightHand_Rotation_Z,VRRightHand_HoldingObjectType,
0.0379806,2,2,-0.0251725,1.650289,0.02949665,14.6554,0.8677743,357.1685,-0.2301057,1.205258,0.2516804,342.3512,26.63846,332.2543,NoObject,-0.2105323,1.763207,0.1172388,16.56984,316.0724,308.1562,NoObject,
0.1699578,2,2,-0.02575337,1.650261,0.02913913,14.64042,0.7620187,357.2225,-0.2300861,1.205293,0.2515998,342.3369,26.69421,332.2214,NoObject,-0.2105323,1.763207,0.1172388,16.57159,316.072,308.1575,NoObject,
0.1917248,2,2,-0.02572586,1.650293,0.02882507,14.62382,0.749813,357.2567,-0.2300969,1.205267,0.251584,342.3436,26.70805,332.2084,NoObject,-0.2105323,1.763207,0.1172388,16.57171,316.0709,308.1584,NoObject,
0.2184831,2,2,-0.02559944,1.650349,0.02861515,14.59988,0.7694743,357.2543,-0.230113,1.205225,0.2515933,342.346,26.70695,332.2098,NoObject,-0.2105323,1.763207,0.1172388,16.57227,316.0706,308.1575,NoObject,
0.2418815,2,2,-0.02544445,1.6504,0.02842077,14.57867,0.7797287,357.2502,-0.2301053,1.205269,0.2515272,342.2932,26.70257,332.1919,NoObject,-0.2105323,1.763207,0.1172388,16.57232,316.0704,308.1576,NoObject,
0.2687576,2,2,-0.02537537,1.650409,0.02833834,14.5853,0.7835838,357.2391,-0.2300845,1.205273,0.2514705,342.2744,26.72107,332.1722,NoObject,-0.2105323,1.763207,0.1172388,16.57246,316.0691,308.1549,NoObject,
0.2940639,2,2,-0.02519791,1.650394,0.02820811,14.57756,0.7861721,357.2179,-0.2300534,1.205271,0.2514435,342.2646,26.74452,332.1586,NoObject,-0.2105323,1.763207,0.1172388,16.57299,316.068,308.1537,NoObject,
0.3190043,2,2,-0.02502027,1.650409,0.02811111,14.56701,0.7719558,357.1821,-0.2300165,1.20528,0.2514143,342.2561,26.76861,332.1512,NoObject,-0.2105323,1.763207,0.1172388,16.57297,316.0654,308.1534,NoObject,
0.3439958,2,2,-0.02474226,1.650361,0.02803956,14.55924,0.761879,357.1169,-0.2300096,1.205286,0.2513896,342.2412,26.7746,332.1335,NoObject,-0.2105323,1.763207,0.1172388,16.57397,316.0641,308.1521,NoObject,
0.3702365,2,2,-0.0245526,1.650316,0.0279772,14.57406,0.7537858,357.0981,-0.2300052,1.205297,0.2513614,342.2309,26.7714,332.1235,NoObject,-0.2105323,1.763207,0.1172388,16.57257,316.0641,308.1523,NoObject,
